"Context","Question","Answer","Label"
"In the Southeast Asian regions, the 'king of fruits' is a durian, a very distinctive fruit, often causing polarized opinions due to its unique smell.","What fruit is considered the 'king of fruits' in Southeast Asia?","Durian",1
"In South Australia, a popular summer crop is water-heavy, generally sweet, and has a thick green rind.","What is the typical taste of this popular summer crop in South Australia?","Generally sweet",1
"An egg-shaped fruit with a hard, purple skin and soft, creamy interior is a nutritional powerhouse, rich in fibers, vitamins, and minerals.","What color is the skin of this nutritional powerhouse fruit?","Purple",1
"In Japan, a famous winter fruit is characterized by its exceptional juiciness and vibrant, orange flesh, segmented into easy-to-eat slices.","What is characteristic about the flesh of this famous winter fruit in Japan?","It's exceptionally juicy and vibrant orange",1
"The wild forests of North America are home to a specific type of tiny, dark berry. Despite its small size, it has a potent, sweet flavor.","What is the flavor of this tiny, dark berry found in North American forests?","Potent and sweet",1
"A small, red, tart fruit, native to northern Europe, is often used to make a popular sauce for meat dishes, particularly around the holidays.","What is a common culinary use of this small, red fruit from northern Europe?","To make a popular sauce for meat dishes",1
"Tropical regions of Asia grow a fruit known for its spiky exterior and sweet, fragrant interior. It’s often used in desserts but can be enjoyed fresh as well.","What is the texture of the exterior of this Asian tropical fruit?","Spiky",1
"A certain type of tree in the Mediterranean region produces small, oval fruits known for their bitter taste, and are often cured before being eaten.","What is the taste of the small, oval fruits from the Mediterranean region tree?","Bitter",1
"A tropical fruit native to the Americas has a rough, bark-like outer layer and a sweet, yellow interior. It's known for its high water content.","What is the color of the inner part of this tropical fruit native to the Americas?","Yellow",1
"Harvested in fall, a particular type of large, orange fruit native to North America has edible flesh and seeds, and is often carved for decorational purposes.","When is this large, orange North American fruit typically harvested?","In fall",1
"A fruit tree prolific in New Zealand produces bright, green, egg-shaped fruits. These fruits are a rich source of vitamin C and contain small, edible black seeds.","What nutrients is the egg-shaped fruit from New Zealand known for?","Vitamin C",1
"Indigenous to southern Brazil, a fruit bearing tree typically produces small, red berries enjoyed by local people for their sweet and slightly tart taste.","What is the taste of these small, red berries from southern Brazil?","Sweet and slightly tart",1
"The Eastern coastline of Australia is home to a perennial tree, producing a unique fruit known for its luminescent purple color and delicately sweet flavor.","What is the flavor of this unique fruit from the Eastern coastline of Australia?","Delicately sweet",1
"A certain type of tree thrives in the Mediterranean, producing a fruit that is high in healthy fats. The fruit is usually eaten fresh but can also be made into oil.","What is this Mediterranean fruit that is high in healthy fats commonly used to make?","Oil",1
"In Southeast Asia, there's a small, round, purple fruit with sweet white flesh and a seed in the middle, which is often consumed fresh or in juices.","What is the color of the small, round fruit native to Southeast Asia?","Purple",1
"Native to Europe, a bush bearing crimson colored berries is common in summer, and the berries are frequently used to make jams, jellies, and sauces.","What are the crimson colored berries from Europe commonly used to make?","Jams, jellies, and sauces",1
"Certain regions in South America grow a large, spiky fruit which, upon opening, reveal a soft, white, sweet flesh with black seeds.","What is the color of the flesh of the large, spiky fruit from South America?","White",1
"An evergreen shrub in the Middle East produces a fruit that is high in Vitamin C and has a distinctive sweet-tart taste that is enjoyed by many.","What vitamin is the fruit from the Middle East evergreen shrub high in?","Vitamin C",1
"There exists a succulent plant species in the deserts of Africa, producing a fruit that locals enjoy for its cooling effect and high water content.","What is one reason why locals enjoy the fruit from the succulent African plant?","For its cooling effect",1
"Originating in temperate regions, a particular delicate, red berry is renowned for its sweet taste and high content of antioxidants, especially when picked ripe and fresh.","What nutrient is the delicate, red berry from the temperate regions renowned for?","Antioxidants",1
"Along with being a popular dessert flavor, this product is packed with vitamin C and also provides hydration due to its high water content.","What nutrients does this product provide?","It provides Vitamin C and hydration due to its high water content.",1
"This common item requires quite a bit of exposure to sunlight and heat in order to reach optimal sweetness. They are typically grown in tropical or sub-tropical climates.","What conditions are ideal for growing this product?","They need a lot of sunlight and heat and are usually grown in tropical or sub-tropical climates.",1
"Among the most healthful types of this category, blueberries are known for being rich in antioxidants and beneficial for heart health.","What health benefits are associated with this product?","Blueberries are high in antioxidants and good for heart health.",1
"Bananas provide a source of quick energy due to their high carbohydrate content. They are often eaten as a pre-workout snack.","Why do people consume bananas before a workout?","Because bananas provide a quick source of energy due to their high carbohydrate content.",1
"This product turns a deep purple when ripe, and it's flesh has a sweet and slightly tart flavor. It is often made into jams, jellies and wines.","What happens to this product when it ripens?","It turns a deep purple.",1
"This juicy and sweet item is a hybrid of two other types, a pomelo and mandarin, which gives it its unique, delicious flavor.","What is this item a hybrid of?","It's a hybrid of a pomelo and a mandarin.",1
"This category of food includes a variety that has fuzzy brown skin and green flesh, packed with Vitamin C and E.","What vitamins does this variety provide?","It provides Vitamin C and E.",1
"While many types in this category require peeling or deseeding, this type can be eaten in its entirety, except the pit.","How is this type typically consumed?","It can be eaten in its entirety, except for the pit.",1
"This type from the rosaceae family is often used in holiday pies and desserts due to its tart flavor and firm texture.","Why is this type used in holiday desserts?","Its tart flavor and firm texture make it perfect for holiday pies and desserts.",1
"'An apple a day keep the doctor away' is an old saying, referring to the numerous health benefits associated with this type.","What does 'An apple a day keeps the doctor away' suggest?","It suggests that this type has numerous health benefits.",1
"This category includes a variety with unique white flesh and crunchy texture, which is particularly popular in Asian cuisine.","What is distinctive about this variety?","It has unique white flesh and a crunchy texture.",1
"A certain cultivar in this category can famously split into five neat segments when tapped on its head.","What happens when the cultivar is tapped on its head?","It can split into five neat segments.",1
"Despite most people thinking it's a vegetable, tomatoes actually fall into this category due to their seeds and growth pattern.","Why do tomatoes fall into this category?","Due to their seeds and growth pattern.",1
"A variety of this category is notorious for its strong odor and is considered a delicacy in Southeast Asia.","What is notable about this variety?","It is known for its strong odor and is considered a delicacy in Southeast Asia.",1
"This type is typically yellow with a peel that needs to be removed prior to eating, and it is known for its potassium content.","What nutrient is this type known for?","It is known for its potassium content.",1
"Featuring a protective rind that encloses a juicy interior, this item is refreshing and hydrating, often associated with summer.","What characteristics make this item associated with summer?","Its juicy, hydrating nature makes it associated with summer.",1
"With a high water content of over 90%, this item can surprise those looking for a hydrating, yet low-calorie treat.","What attributes make this item light and hydrating?","Its high water content of over 90% makes it light and hydrating.",1
"This type is known for its crisp, refreshing texture and sharp, tart flavor, often used in salads, smoothies, and juices.","What properties make this item popular in salads, smoothies and juices?","Its crisp texture and tart flavor make it suitable for salads, smoothies and juices.",1
"In contrast to other types in its category, this variety is rich in healthy fats and hence often used to enrich smoothies or as a spread.","What makes this variety suitable for enriching smoothies or as a spread?","It is rich in healthy fats.",1
"This type typically changes color as it matures, as well as developing a sweeter flavor and softer texture.","What happens as this type matures?","It changes color, develops a sweeter flavor and softer texture.",1
"Notoriously hard to peel, this type is known for its lush, tropical flavor and is often used in smoothies and fruit bowls.","How is this type commonly used?","It is often used in smoothies and fruit bowls.",1
"Featuring a spiky exterior and sweet, juicy flesh, this variety is a staple in tropical regions and is often used in sweet and savory dishes.","How is this variety typically used in cooking?","It is used in both sweet and savory dishes.",1
"Noted for its bright color and tart flavor, this type is rich in vitamin C and is typically used in pies and juices.","What is this type typically used for?","It is typically used in pies and juices.",1
"This variety is widely consumed for its high fiber content, lush texture, and sweet flavor, often eaten raw or in desserts and smoothies.","What are the benefits of consuming this variety?","It is high in fiber and has a lush texture and sweet flavor.",1
"This variety requires peeling before eating and is known for its high content of Vitamins A and C.","What nutrients does this variety provide?","It's high in Vitamins A and C.",1
"In the tropical regions of South America, a large plant grows up to 15 meters tall. Its fruits mature in clusters hanging from the top of the plant and provide essential vitamins and minerals. They have thick, yellow skin with a sweet, aromatic pulp inside.","What vitamins can be found in these fruits?","These fruits contain essential vitamins and minerals.",1
"Some trees are known to live for many centuries. The fruits they produce fall close to the tree and sprout into new trees, ensuring the species continuity. The same tree can produce thousands of these round, sweet, and juicy fruits in a good season.","How does this tree species propagate?","The tree's fruits fall close to it and sprout into new trees.",1
"Growing in North America and Europe's cool climates, the best fruits of this type come from densely packed clusters of small, soft, and sweet fruits. When ripe, their color changes from green to deep blue or purple.","What changes when these fruits ripen?","When ripe, their color changes from green to deep blue or purple.",1
"In a temperate climate, a small tree blooms in spring with beautiful pink flowers. And in the fall, it produces round fruits with a hard seed inside. These fruits are often used in cooking and baking due to their unique flavor.","What is the use of these fruits?","These fruits are often used in cooking and baking due to their unique flavor.",1
"There's a unique shrub growing in arid climates that produces small red fruits. Despite the harsh environment, this shrub thrives and provides vitamin C-rich fruits.","What nutrient are these red fruits known for?","These fruits are known for their vitamin C content.",1
"Nothing is more refreshing on a hot day than water-filled fruits from a crawling vine plant. Those fruits are a favorite at picnics and barbecues due to their refreshing sweetness.","What is a common use for these fruits?","These fruits are a favorite at picnics and barbecues due to their refreshing sweetness.",1
"In the Antilles, a fruit grows on climbing bushes. Its ability to adapt to different types of soil makes it widespread, and its juice is among the favorites of local cuisine.","Why is the fruit widely spread?","Its ability to adapt to different types of soil makes it widespread.",1
"Citrus trees are natives of Southeast Asia. Their fruits are cherished worldwide for their tangy flavor and high vitamin C content.","What is the origin of citrus trees?","Citrus trees are natives of Southeast Asia.",1
"In the coastal areas of Asia, there's a tree that bears a large fruit with a spiky exterior and an unusually strong smell. This king of fruit is rich in dietary fiber and antioxidants.","What are the health benefits of this fruit?","This fruit is rich in dietary fiber and antioxidants.",1
"A tropical fruit with green skin and a soft sweet inner flesh is a favorite dessert ingredient in many South Asian countries. It also carries several medicinal properties, including promoting digestive health.","What are the benefits of consuming this fruit?","The fruit carries several medicinal properties, including promoting digestive health.",1
"A venerable tree is known for its resilience. It can survive arid conditions producing fruits with a distinct, tart flavor. These fruits are a great source of vitamin E and are known for their skin benefits.","What nutrients are known to be in the fruits?","These fruits are a great source of vitamin E.",1
"A long-lived tree produces fruits that are commonly used for treating cough and cold symptoms due to their high vitamin C content.","What medical uses do these fruits have?","These fruits are commonly used for treating cough and cold symptoms.",1
"Some orchard trees produce small fruits with a tangy taste. They are usually consumed during the cooler seasons and are a fantastic source of vitamin A.","What vitamins can be found in these fruits?","These fruits are a fantastic source of vitamin A.",1
