prompt,label
"Context: "" He ought to be bending over backwards for reconciliation, but if you want to do impact work and people in the San Gabriel Valley want direct services, you have to accommodate that or change your approach,"" the observer said. "" Neal would never consider doing that.""
Question: According to an observer, what would Neal never consider doing?
Answer: Apologizing to John Peck",0
"Context: "" He ought to be bending over backwards for reconciliation, but if you want to do impact work and people in the San Gabriel Valley want direct services, you have to accommodate that or change your approach,"" the observer said. "" Neal would never consider doing that.""
Question: According to an observer, what would Neal never consider doing?
Answer: Bend over backwards for reconciliation",1
"Context: "" He ought to be bending over backwards for reconciliation, but if you want to do impact work and people in the San Gabriel Valley want direct services, you have to accommodate that or change your approach,"" the observer said. "" Neal would never consider doing that.""
Question: According to an observer, what would Neal never consider doing?
Answer: Changing his program for any reason",0
"Context: "" He ought to be bending over backwards for reconciliation, but if you want to do impact work and people in the San Gabriel Valley want direct services, you have to accommodate that or change your approach,"" the observer said. "" Neal would never consider doing that.""
Question: According to an observer, what would Neal never consider doing?
Answer: Changing his approach",1
"Context: "" He ought to be bending over backwards for reconciliation, but if you want to do impact work and people in the San Gabriel Valley want direct services, you have to accommodate that or change your approach,"" the observer said. "" Neal would never consider doing that.""
Question: According to an observer, what would Neal never consider doing?
Answer: Accommodating people who want direct services or changing his approach",1
"Context: "" Starting today, combined forces will retake the streets of Alta Verapaz,"" a government statement released Sunday morning said. Government data shows cells of the drug gang known as Los Zetas are in the area to protect drug trafficking paths between Honduras and Mexico,"" intimidating the population with their heavy weapons and threatening farmers to give up their land for criminal activities,"" AGN reported.
Question: From whom, will the combined forces be retaking the streets of Alta Verapaz?
Answer: Carlos Menocal",0
"Context: "" Starting today, combined forces will retake the streets of Alta Verapaz,"" a government statement released Sunday morning said. Government data shows cells of the drug gang known as Los Zetas are in the area to protect drug trafficking paths between Honduras and Mexico,"" intimidating the population with their heavy weapons and threatening farmers to give up their land for criminal activities,"" AGN reported.
Question: From whom, will the combined forces be retaking the streets of Alta Verapaz?
Answer: Drug gang",1
"Context: "" Starting today, combined forces will retake the streets of Alta Verapaz,"" a government statement released Sunday morning said. Government data shows cells of the drug gang known as Los Zetas are in the area to protect drug trafficking paths between Honduras and Mexico,"" intimidating the population with their heavy weapons and threatening farmers to give up their land for criminal activities,"" AGN reported.
Question: From whom, will the combined forces be retaking the streets of Alta Verapaz?
Answer: Combined forces will be retaking the streets of Alta Verapaz from cells of the street gang Los Zetas",1
"Context: "" Starting today, combined forces will retake the streets of Alta Verapaz,"" a government statement released Sunday morning said. Government data shows cells of the drug gang known as Los Zetas are in the area to protect drug trafficking paths between Honduras and Mexico,"" intimidating the population with their heavy weapons and threatening farmers to give up their land for criminal activities,"" AGN reported.
Question: From whom, will the combined forces be retaking the streets of Alta Verapaz?
Answer: Alvaro Colom",0
"Context: ( CNN ) -- The U.S. space shuttle program retired in 2011, leaving American astronauts to hitchhike into orbit. But after three long years, NASA's successor is almost ready to make an entrance. Orion, the agency's newest manned spaceship, is being prepared for its first mission in December.
Question: What is the name of NASA's successor to the retired 2011 space shuttle program?
Answer: Orion",1
"Context: ( CNN ) -- The U.S. space shuttle program retired in 2011, leaving American astronauts to hitchhike into orbit. But after three long years, NASA's successor is almost ready to make an entrance. Orion, the agency's newest manned spaceship, is being prepared for its first mission in December.
Question: What is the name of NASA's successor to the retired 2011 space shuttle program?
Answer: Delta IV",0
"Context: ( CNN ) -- The U.S. space shuttle program retired in 2011, leaving American astronauts to hitchhike into orbit. But after three long years, NASA's successor is almost ready to make an entrance. Orion, the agency's newest manned spaceship, is being prepared for its first mission in December.
Question: What is the name of NASA's successor to the retired 2011 space shuttle program?
Answer: Space shuttle",0
"Context: ( CNN ) -- The U.S. space shuttle program retired in 2011, leaving American astronauts to hitchhike into orbit. But after three long years, NASA's successor is almost ready to make an entrance. Orion, the agency's newest manned spaceship, is being prepared for its first mission in December.
Question: What is the name of NASA's successor to the retired 2011 space shuttle program?
Answer: Apollo",0
"Context: ( CNN ) -- The U.S. space shuttle program retired in 2011, leaving American astronauts to hitchhike into orbit. But after three long years, NASA's successor is almost ready to make an entrance. Orion, the agency's newest manned spaceship, is being prepared for its first mission in December.
Question: What is the name of NASA's successor to the retired 2011 space shuttle program?
Answer: Gemini",0
"Context: ( CNN ) -- Women seeking an abortion in Texas will have to view a picture of the embryo or fetus and hear a description of its development before having the procedure, under a law that takes effect September 1. The bill stirred some controversy in Texas, but it easily passed through the state House and Senate, both of which are controlled by Republicans.
Question: What law taking affect September 1st easily passed through the Texas House and Senate?
Answer: A law requiring women to take a class before having an abortion",0
"Context: ( CNN ) -- Women seeking an abortion in Texas will have to view a picture of the embryo or fetus and hear a description of its development before having the procedure, under a law that takes effect September 1. The bill stirred some controversy in Texas, but it easily passed through the state House and Senate, both of which are controlled by Republicans.
Question: What law taking affect September 1st easily passed through the Texas House and Senate?
Answer: Women seeking abortion in state of Texas must talk to a doctor and court official",0
"Context: ( CNN ) -- Women seeking an abortion in Texas will have to view a picture of the embryo or fetus and hear a description of its development before having the procedure, under a law that takes effect September 1. The bill stirred some controversy in Texas, but it easily passed through the state House and Senate, both of which are controlled by Republicans.
Question: What law taking affect September 1st easily passed through the Texas House and Senate?
Answer: Women seeking an abortion in Texas will have to view a picture of the embryo or fetus and hear a description of its development before having the procedure, under a law that takes effect September 1",1
"Context: ( CNN ) -- Women seeking an abortion in Texas will have to view a picture of the embryo or fetus and hear a description of its development before having the procedure, under a law that takes effect September 1. The bill stirred some controversy in Texas, but it easily passed through the state House and Senate, both of which are controlled by Republicans.
Question: What law taking affect September 1st easily passed through the Texas House and Senate?
Answer: Omen seeking an abortion in Texas will have to view a picture of the embryo or fetus and hear a description of its development before having the procedure",1
"Context: ( CNN ) -- Women seeking an abortion in Texas will have to view a picture of the embryo or fetus and hear a description of its development before having the procedure, under a law that takes effect September 1. The bill stirred some controversy in Texas, but it easily passed through the state House and Senate, both of which are controlled by Republicans.
Question: What law taking affect September 1st easily passed through the Texas House and Senate?
Answer: Women seeking  abortion in state of Texas must undergo a sonogram, look at the picture and doctor must explain to the women what the sonogram show",1
"Context: A horse and trap was waiting there with Henshaw in it. He was now bending down, probably with the object of concealing his identity, and had moved on a few paces farther down the road.
Question: What was Henshaw doing?
Answer: Hiding from Gifford with a horse and trap",1
"Context: A horse and trap was waiting there with Henshaw in it. He was now bending down, probably with the object of concealing his identity, and had moved on a few paces farther down the road.
Question: What was Henshaw doing?
Answer: Bending down",1
"Context: A horse and trap was waiting there with Henshaw in it. He was now bending down, probably with the object of concealing his identity, and had moved on a few paces farther down the road.
Question: What was Henshaw doing?
Answer: Sitting",0
"Context: A new Ringan indeed, as unlike the buccaneer I knew as he was unlike the Quaker. When I presented Grey to him, he became at once the cavalier, as precise in his speech and polite in his deportment as any Whitehall courtier. They talked high and disposedly of genteel matters, and you would have thought that that red - haired pirate had lived his life among proud lords and high - heeled ladies.
Question: Who talked high and disposedly of genteel matters?
Answer: Ringan",1
"Context: A new Ringan indeed, as unlike the buccaneer I knew as he was unlike the Quaker. When I presented Grey to him, he became at once the cavalier, as precise in his speech and polite in his deportment as any Whitehall courtier. They talked high and disposedly of genteel matters, and you would have thought that that red - haired pirate had lived his life among proud lords and high - heeled ladies.
Question: Who talked high and disposedly of genteel matters?
Answer: The author",0
"Context: A new Ringan indeed, as unlike the buccaneer I knew as he was unlike the Quaker. When I presented Grey to him, he became at once the cavalier, as precise in his speech and polite in his deportment as any Whitehall courtier. They talked high and disposedly of genteel matters, and you would have thought that that red - haired pirate had lived his life among proud lords and high - heeled ladies.
Question: Who talked high and disposedly of genteel matters?
Answer: Ringan and Grey",1
"Context: A scientist named Alfred Wegener had these same questions. Wegener look at rocks on both sides of the Atlantic Ocean. He noticed they were the same type and age.
Question: Who noticed that rocks on both sides of the Atlantic ocean were the same type and age?
Answer: Proposer",0
"Context: A scientist named Alfred Wegener had these same questions. Wegener look at rocks on both sides of the Atlantic Ocean. He noticed they were the same type and age.
Question: Who noticed that rocks on both sides of the Atlantic ocean were the same type and age?
Answer: North America",0
"Context: A scientist named Alfred Wegener had these same questions. Wegener look at rocks on both sides of the Atlantic Ocean. He noticed they were the same type and age.
Question: Who noticed that rocks on both sides of the Atlantic ocean were the same type and age?
Answer: Tom Smith",0
"Context: A scientist named Alfred Wegener had these same questions. Wegener look at rocks on both sides of the Atlantic Ocean. He noticed they were the same type and age.
Question: Who noticed that rocks on both sides of the Atlantic ocean were the same type and age?
Answer: Europe",0
"Context: A scientist named Alfred Wegener had these same questions. Wegener look at rocks on both sides of the Atlantic Ocean. He noticed they were the same type and age.
Question: Who noticed that rocks on both sides of the Atlantic ocean were the same type and age?
Answer: A Scientist",1
"Context: A scientist named Alfred Wegener had these same questions. Wegener look at rocks on both sides of the Atlantic Ocean. He noticed they were the same type and age.
Question: Who noticed that rocks on both sides of the Atlantic ocean were the same type and age?
Answer: Alfred Wegener",1
"Context: A stranger in town meets pretty young Susan Martinez De La Cruz and accompanies her to a barbecue, where wealthy Jason Carberry is saying a few words for the recently departed Robin Randall, a citizen who got shot. Jason objects to the stranger's presence, being Susan's guardian and protective of her.
Question: What did we learn about Jason?
Answer: He might be the killer of Robin Randall",1
"Context: A stranger in town meets pretty young Susan Martinez De La Cruz and accompanies her to a barbecue, where wealthy Jason Carberry is saying a few words for the recently departed Robin Randall, a citizen who got shot. Jason objects to the stranger's presence, being Susan's guardian and protective of her.
Question: What did we learn about Jason?
Answer: He is wealthy and the guardian of Susan Martinez De La Cruz",1
"Context: A stranger in town meets pretty young Susan Martinez De La Cruz and accompanies her to a barbecue, where wealthy Jason Carberry is saying a few words for the recently departed Robin Randall, a citizen who got shot. Jason objects to the stranger's presence, being Susan's guardian and protective of her.
Question: What did we learn about Jason?
Answer: He was a coward",0
"Context: A stranger in town meets pretty young Susan Martinez De La Cruz and accompanies her to a barbecue, where wealthy Jason Carberry is saying a few words for the recently departed Robin Randall, a citizen who got shot. Jason objects to the stranger's presence, being Susan's guardian and protective of her.
Question: What did we learn about Jason?
Answer: He has a niece named Sheila",0
"Context: A stranger in town meets pretty young Susan Martinez De La Cruz and accompanies her to a barbecue, where wealthy Jason Carberry is saying a few words for the recently departed Robin Randall, a citizen who got shot. Jason objects to the stranger's presence, being Susan's guardian and protective of her.
Question: What did we learn about Jason?
Answer: He is Susan's guardian and protective of her",1
"Context: A stranger in town meets pretty young Susan Martinez De La Cruz and accompanies her to a barbecue, where wealthy Jason Carberry is saying a few words for the recently departed Robin Randall, a citizen who got shot. The stranger is recognized as Reb Randall, the dead man's brother.
Question: What was the name of the person who meets Susan and accompanies her to barbecue?
Answer: Reb",1
"Context: A stranger in town meets pretty young Susan Martinez De La Cruz and accompanies her to a barbecue, where wealthy Jason Carberry is saying a few words for the recently departed Robin Randall, a citizen who got shot. The stranger is recognized as Reb Randall, the dead man's brother.
Question: What was the name of the person who meets Susan and accompanies her to barbecue?
Answer: Jason Carberry",0
"Context: A stranger in town meets pretty young Susan Martinez De La Cruz and accompanies her to a barbecue, where wealthy Jason Carberry is saying a few words for the recently departed Robin Randall, a citizen who got shot. The stranger is recognized as Reb Randall, the dead man's brother.
Question: What was the name of the person who meets Susan and accompanies her to barbecue?
Answer: Robin Randall",0
"Context: A stranger in town meets pretty young Susan Martinez De La Cruz and accompanies her to a barbecue, where wealthy Jason Carberry is saying a few words for the recently departed Robin Randall, a citizen who got shot. The stranger is recognized as Reb Randall, the dead man's brother.
Question: What was the name of the person who meets Susan and accompanies her to barbecue?
Answer: Stranger",0
"Context: A stranger in town meets pretty young Susan Martinez De La Cruz and accompanies her to a barbecue, where wealthy Jason Carberry is saying a few words for the recently departed Robin Randall, a citizen who got shot. The stranger is recognized as Reb Randall, the dead man's brother.
Question: What was the name of the person who meets Susan and accompanies her to barbecue?
Answer: A stranger",1
"Context: A stranger in town meets pretty young Susan Martinez De La Cruz and accompanies her to a barbecue, where wealthy Jason Carberry is saying a few words for the recently departed Robin Randall, a citizen who got shot. The stranger is recognized as Reb Randall, the dead man's brother.
Question: What was the name of the person who meets Susan and accompanies her to barbecue?
Answer: Reb Randall",1
"Context: According to the radar reconstruction, American 77 reemerged as a primary target on Indianapolis Center radar scopes at 9:05, east of its last known position. The target remained in Indianapolis Center's airspace for another six minutes, then crossed into the western portion of Washington Center's airspace at 9:10.
Question: What target crossed into Washington Center's airspace at 9:10?
Answer: United 88",0
"Context: According to the radar reconstruction, American 77 reemerged as a primary target on Indianapolis Center radar scopes at 9:05, east of its last known position. The target remained in Indianapolis Center's airspace for another six minutes, then crossed into the western portion of Washington Center's airspace at 9:10.
Question: What target crossed into Washington Center's airspace at 9:10?
Answer: Helicopter",0
"Context: According to the radar reconstruction, American 77 reemerged as a primary target on Indianapolis Center radar scopes at 9:05, east of its last known position. The target remained in Indianapolis Center's airspace for another six minutes, then crossed into the western portion of Washington Center's airspace at 9:10.
Question: What target crossed into Washington Center's airspace at 9:10?
Answer: American Flight 77",1
"Context: According to the radar reconstruction, American 77 reemerged as a primary target on Indianapolis Center radar scopes at 9:05, east of its last known position. The target remained in Indianapolis Center's airspace for another six minutes, then crossed into the western portion of Washington Center's airspace at 9:10.
Question: What target crossed into Washington Center's airspace at 9:10?
Answer: Airplane",1
"Context: After being humiliated by a young American couple in a Baja bar, Farragut tracks them down on the beach while accompanied by Maxon. The men are Warren Summerfield, a suicidal middle - aged ad executive who has been fired from the agency ; the straightlaced Paul McIlvain who is inattentive to his wife, and brash art designer Maxon who feels suddenly trapped after his girlfriend announces she is pregnant.
Question: Who does the father accompany to track down the young American couple?
Answer: McIlvian's wife",0
"Context: After being humiliated by a young American couple in a Baja bar, Farragut tracks them down on the beach while accompanied by Maxon. The men are Warren Summerfield, a suicidal middle - aged ad executive who has been fired from the agency ; the straightlaced Paul McIlvain who is inattentive to his wife, and brash art designer Maxon who feels suddenly trapped after his girlfriend announces she is pregnant.
Question: Who does the father accompany to track down the young American couple?
Answer: Maxon",1
"Context: After being humiliated by a young American couple in a Baja bar, Farragut tracks them down on the beach while accompanied by Maxon. The men are Warren Summerfield, a suicidal middle - aged ad executive who has been fired from the agency ; the straightlaced Paul McIlvain who is inattentive to his wife, and brash art designer Maxon who feels suddenly trapped after his girlfriend announces she is pregnant.
Question: Who does the father accompany to track down the young American couple?
Answer: Summerfield",0
"Context: After being humiliated by a young American couple in a Baja bar, Farragut tracks them down on the beach while accompanied by Maxon. The men are Warren Summerfield, a suicidal middle - aged ad executive who has been fired from the agency ; the straightlaced Paul McIlvain who is inattentive to his wife, and brash art designer Maxon who feels suddenly trapped after his girlfriend announces she is pregnant.
Question: Who does the father accompany to track down the young American couple?
Answer: McIIvian",0
"Context: After being humiliated by a young American couple in a Baja bar, Farragut tracks them down on the beach while accompanied by Maxon. The men are Warren Summerfield, a suicidal middle - aged ad executive who has been fired from the agency ; the straightlaced Paul McIlvain who is inattentive to his wife, and brash art designer Maxon who feels suddenly trapped after his girlfriend announces she is pregnant.
Question: Who does the father accompany to track down the young American couple?
Answer: Mcllvain",0
"Context: After being humiliated by a young American couple in a Baja bar, Farragut tracks them down on the beach while accompanied by Maxon. The men are Warren Summerfield, a suicidal middle - aged ad executive who has been fired from the agency ; the straightlaced Paul McIlvain who is inattentive to his wife, and brash art designer Maxon who feels suddenly trapped after his girlfriend announces she is pregnant.
Question: Who does the father accompany to track down the young American couple?
Answer: Farragut",1
"Context: After being humiliated by a young American couple in a Baja bar, Farragut tracks them down on the beach while accompanied by Maxon. The men are Warren Summerfield, a suicidal middle - aged ad executive who has been fired from the agency ; the straightlaced Paul McIlvain who is inattentive to his wife, and brash art designer Maxon who feels suddenly trapped after his girlfriend announces she is pregnant.
Question: Who does the father accompany to track down the young American couple?
Answer: The young American couple",0
"Context: After being humiliated by a young American couple in a Baja bar, Farragut tracks them down on the beach while accompanied by Maxon. The men are Warren Summerfield, a suicidal middle - aged ad executive who has been fired from the agency ; the straightlaced Paul McIlvain who is inattentive to his wife, and brash art designer Maxon who feels suddenly trapped after his girlfriend announces she is pregnant.
Question: Who does the father accompany to track down the young American couple?
Answer: The girlfriend",0
"Context: After being humiliated by a young American couple in a Baja bar, Farragut tracks them down on the beach while accompanied by Maxon. The men are Warren Summerfield, a suicidal middle - aged ad executive who has been fired from the agency ; the straightlaced Paul McIlvain who is inattentive to his wife, and brash art designer Maxon who feels suddenly trapped after his girlfriend announces she is pregnant.
Question: Who does the father accompany to track down the young American couple?
Answer: Paul McIlvain",0
"Context: After dinner, he went to look for Max one last time before he had to take a bath and go to bed. He heard some barking on the next street, so he ran to see if it was his puppy.
Question: Where did Joey go after dinner and why?
Answer: To look for max, he went outside",1
"Context: After dinner, he went to look for Max one last time before he had to take a bath and go to bed. He heard some barking on the next street, so he ran to see if it was his puppy.
Question: Where did Joey go after dinner and why?
Answer: To the pound to get a new dog",0
"Context: After dinner, he went to look for Max one last time before he had to take a bath and go to bed. He heard some barking on the next street, so he ran to see if it was his puppy.
Question: Where did Joey go after dinner and why?
Answer: Joey went to go look for Max before bedtime and he went across the street because he had heard some barking",1
"Context: After enrolling at the University of Hamburg, he promptly transferred into the city engineering and planning course at the Technical University of Hamburg - Harburg, where he would remain registered as a student until the fall of 1999. Mohamed Atta was born on September 1, 1968, in Kafr el Sheikh, Egypt, to a middle - class family headed by his father, an attorney.
Question: Who was a student at Technical University of Hamburg - Harburg until 1999?
Answer: Mohamed Atta",1
"Context: After enrolling at the University of Hamburg, he promptly transferred into the city engineering and planning course at the Technical University of Hamburg - Harburg, where he would remain registered as a student until the fall of 1999. Mohamed Atta was born on September 1, 1968, in Kafr el Sheikh, Egypt, to a middle - class family headed by his father, an attorney.
Question: Who was a student at Technical University of Hamburg - Harburg until 1999?
Answer: Marwan al Shehhi",0
"Context: After enrolling at the University of Hamburg, he promptly transferred into the city engineering and planning course at the Technical University of Hamburg - Harburg, where he would remain registered as a student until the fall of 1999. Mohamed Atta was born on September 1, 1968, in Kafr el Sheikh, Egypt, to a middle - class family headed by his father, an attorney.
Question: Who was a student at Technical University of Hamburg - Harburg until 1999?
Answer: Atta",1
"Context: After enrolling at the University of Hamburg, he promptly transferred into the city engineering and planning course at the Technical University of Hamburg - Harburg, where he would remain registered as a student until the fall of 1999. Mohamed Atta was born on September 1, 1968, in Kafr el Sheikh, Egypt, to a middle - class family headed by his father, an attorney.
Question: Who was a student at Technical University of Hamburg - Harburg until 1999?
Answer: Ziad Jarrah",0
"Context: After enrolling at the University of Hamburg, he promptly transferred into the city engineering and planning course at the Technical University of Hamburg - Harburg, where he would remain registered as a student until the fall of 1999. Mohamed Atta was born on September 1, 1968, in Kafr el Sheikh, Egypt, to a middle - class family headed by his father, an attorney.
Question: Who was a student at Technical University of Hamburg - Harburg until 1999?
Answer: Ramzi Binalshibh",0
"Context: After graduating from Cairo University with a degree in architectural engineering in 1990, Atta worked as an urban planner in Cairo for a couple of years. After completing a course in German, Atta traveled to Germany for the first time in July 1992.
Question: How many years after graduating Cairo university passed before Mohamed Atta traveled to Germany
Answer: Immediately",0
"Context: After graduating from Cairo University with a degree in architectural engineering in 1990, Atta worked as an urban planner in Cairo for a couple of years. After completing a course in German, Atta traveled to Germany for the first time in July 1992.
Question: How many years after graduating Cairo university passed before Mohamed Atta traveled to Germany
Answer: 1 year",0
"Context: After graduating from Cairo University with a degree in architectural engineering in 1990, Atta worked as an urban planner in Cairo for a couple of years. After completing a course in German, Atta traveled to Germany for the first time in July 1992.
Question: How many years after graduating Cairo university passed before Mohamed Atta traveled to Germany
Answer: Almost 2 years",1
"Context: After graduating from Cairo University with a degree in architectural engineering in 1990, Atta worked as an urban planner in Cairo for a couple of years. After completing a course in German, Atta traveled to Germany for the first time in July 1992.
Question: How many years after graduating Cairo university passed before Mohamed Atta traveled to Germany
Answer: 1",0
"Context: After graduating from Cairo University with a degree in architectural engineering in 1990, Atta worked as an urban planner in Cairo for a couple of years. After completing a course in German, Atta traveled to Germany for the first time in July 1992.
Question: How many years after graduating Cairo university passed before Mohamed Atta traveled to Germany
Answer: 2",1
"Context: After graduating from Cairo University with a degree in architectural engineering in 1990, Atta worked as an urban planner in Cairo for a couple of years. After completing a course in German, Atta traveled to Germany for the first time in July 1992.
Question: How many years after graduating Cairo university passed before Mohamed Atta traveled to Germany
Answer: Less than 3",1
"Context: After graduating from Cairo University with a degree in architectural engineering in 1990, Atta worked as an urban planner in Cairo for a couple of years. After completing a course in German, Atta traveled to Germany for the first time in July 1992.
Question: How many years after graduating Cairo university passed before Mohamed Atta traveled to Germany
Answer: Four",0
"Context: After graduating from Cairo University with a degree in architectural engineering in 1990, Atta worked as an urban planner in Cairo for a couple of years. After completing a course in German, Atta traveled to Germany for the first time in July 1992.
Question: How many years after graduating Cairo university passed before Mohamed Atta traveled to Germany
Answer: 3",0
"Context: Allan crouched over his desk once more, pen in hand and mind blank. He contemplated a story, an outline he had laboriously constructed some time ago.
Question: What did Allan contemplate over his desk?
Answer: A story he had constructed long ago",1
"Context: Allan crouched over his desk once more, pen in hand and mind blank. He contemplated a story, an outline he had laboriously constructed some time ago.
Question: What did Allan contemplate over his desk?
Answer: Arthur",0
"Context: Allan crouched over his desk once more, pen in hand and mind blank. He contemplated a story, an outline he had laboriously constructed some time ago.
Question: What did Allan contemplate over his desk?
Answer: An outline he'd written previously",1
"Context: Allan crouched over his desk once more, pen in hand and mind blank. He contemplated a story, an outline he had laboriously constructed some time ago.
Question: What did Allan contemplate over his desk?
Answer: Grimm",0
"Context: Allan crouched over his desk once more, pen in hand and mind blank. He contemplated a story, an outline he had laboriously constructed some time ago.
Question: What did Allan contemplate over his desk?
Answer: What to write about",0
"Context: Allan crouched over his desk once more, pen in hand and mind blank. He contemplated a story, an outline he had laboriously constructed some time ago.
Question: What did Allan contemplate over his desk?
Answer: An old story of his",1
"Context: Also on Feb. 12, a week before the ice dancing finals, Tokhtakhounov told Anissina's mother in a telephone call that the Russian federation official"" had called me from America"" to assure that"" we are going to make"" Anissina"" an Olympic champion."" He told her that the Russian skating federation official"" will help -- he has two or three judges.""
Question: Who is going to help making Anissina"" an Olympic champion""?
Answer: Tokhtakhounov",1
"Context: Also on Feb. 12, a week before the ice dancing finals, Tokhtakhounov told Anissina's mother in a telephone call that the Russian federation official"" had called me from America"" to assure that"" we are going to make"" Anissina"" an Olympic champion."" He told her that the Russian skating federation official"" will help -- he has two or three judges.""
Question: Who is going to help making Anissina"" an Olympic champion""?
Answer: Phyllis Howard",0
"Context: Also on Feb. 12, a week before the ice dancing finals, Tokhtakhounov told Anissina's mother in a telephone call that the Russian federation official"" had called me from America"" to assure that"" we are going to make"" Anissina"" an Olympic champion."" He told her that the Russian skating federation official"" will help -- he has two or three judges.""
Question: Who is going to help making Anissina"" an Olympic champion""?
Answer: Lloyd Ward",0
"Context: Also on Feb. 12, a week before the ice dancing finals, Tokhtakhounov told Anissina's mother in a telephone call that the Russian federation official"" had called me from America"" to assure that"" we are going to make"" Anissina"" an Olympic champion."" He told her that the Russian skating federation official"" will help -- he has two or three judges.""
Question: Who is going to help making Anissina"" an Olympic champion""?
Answer: Russian federation official",1
"Context: Also on Feb. 12, a week before the ice dancing finals, Tokhtakhounov told Anissina's mother in a telephone call that the Russian federation official"" had called me from America"" to assure that"" we are going to make"" Anissina"" an Olympic champion."" He told her that the Russian skating federation official"" will help -- he has two or three judges.""
Question: Who is going to help making Anissina"" an Olympic champion""?
Answer: The Russian skating federation official",1
"Context: Also on Feb. 12, a week before the ice dancing finals, Tokhtakhounov told Anissina's mother in a telephone call that the Russian federation official"" had called me from America"" to assure that"" we are going to make"" Anissina"" an Olympic champion."" He told her that the Russian skating federation official"" will help -- he has two or three judges.""
Question: Who is going to help making Anissina"" an Olympic champion""?
Answer: Gailhaguet",0
"Context: An Australian constable who infiltrated the group in August 2006 was among 50 witnesses testifying at trial. He told the jury that the group traded more than 400,000 images and videos of child sexual abuse before being dismantled by law enforcement, according to the Justice Department statement.
Question: Who told the jury that the group traded more than 400,000 images and videos of child sexual abuse?
Answer: The Department of Justice",0
"Context: An Australian constable who infiltrated the group in August 2006 was among 50 witnesses testifying at trial. He told the jury that the group traded more than 400,000 images and videos of child sexual abuse before being dismantled by law enforcement, according to the Justice Department statement.
Question: Who told the jury that the group traded more than 400,000 images and videos of child sexual abuse?
Answer: Castleman",0
"Context: An Australian constable who infiltrated the group in August 2006 was among 50 witnesses testifying at trial. He told the jury that the group traded more than 400,000 images and videos of child sexual abuse before being dismantled by law enforcement, according to the Justice Department statement.
Question: Who told the jury that the group traded more than 400,000 images and videos of child sexual abuse?
Answer: The Australian constable",1
"Context: An Australian constable who infiltrated the group in August 2006 was among 50 witnesses testifying at trial. He told the jury that the group traded more than 400,000 images and videos of child sexual abuse before being dismantled by law enforcement, according to the Justice Department statement.
Question: Who told the jury that the group traded more than 400,000 images and videos of child sexual abuse?
Answer: The seven defendents",0
"Context: An Australian constable who infiltrated the group in August 2006 was among 50 witnesses testifying at trial. He told the jury that the group traded more than 400,000 images and videos of child sexual abuse before being dismantled by law enforcement, according to the Justice Department statement.
Question: Who told the jury that the group traded more than 400,000 images and videos of child sexual abuse?
Answer: Mathew Friedrich",0
"Context: An element of amusement was added, however, by Jarvis's astonishing behaviour. Having totally ignored Bambi himself, it distressed him to think of any other man being attracted by her.
Question: Who ignored Bambi and how did they feel about another man noticing her?
Answer: Jarvis Jocelyn and he felt distressed that another man would be attracted to her",0
"Context: An element of amusement was added, however, by Jarvis's astonishing behaviour. Having totally ignored Bambi himself, it distressed him to think of any other man being attracted by her.
Question: Who ignored Bambi and how did they feel about another man noticing her?
Answer: Excited",0
